id,title,status,source,score,warning,file
"pv-081-albert-einstein","Albert Einstein","updated","wikidata-P18","216","none","File:Einstein 1921 by F Schmutzer - restoration.jpg"
"pv-082-marie-curie","Marie Curie","updated","wikipedia-image-list","222","none","File:1911 Solvay conference.jpg"
"pv-083-isaac-newton","Isaac Newton","updated","wikidata-P18","238","none","File:GodfreyKneller-IsaacNewton-1689.jpg"
"pv-084-charles-darwin","Charles Darwin","updated","wikidata-P18","260","none","File:Charles Darwin portrait.jpg"
"pv-085-ada-lovelace","Ada Lovelace","updated","wikidata-P18","194","none","File:Ada Lovelace.jpg"
"pv-086-nikola-tesla","Nikola Tesla","updated","wikidata-P18","238","none","File:N.Tesla.JPG"
"pv-087-leonardo-da-vinci","Leonardo da Vinci","updated","wikidata-P18","228","none","File:Francesco Melzi - Portrait of Leonardo.png"
"pv-088-galileo-galilei","Galileo Galilei","updated","wikidata-P18","238","none","File:Galileo.arp.300pix.jpg"
"pv-089-katherine-johnson","Katherine Johnson","updated","wikidata-P18","194","none","File:Katherine Johnson 1983.jpg"
"pv-090-rosalind-franklin","Rosalind Franklin","updated","wikidata-P18","214","none","File:ExoMars prototype rover 6 (cropped).jpg"
